Mes,Year,Palmillas,Magdaleno Aguilar,La Vega,Plan de Ayala,La Reforma,Jaumave DGE,Jaumave SMN,Francisco Zorilla,San vicente,La Encantada
May,1986,105,66.5,92.34,160.2,75,84.2,90.73,58.8,61.5,197.81
Ago,1986,31,31.5,13.61,11,16,7,13.57,5.2,22.3,500.82
Sep,1986,115,56.2,74.42,15,84,89.2,75.82,74,98,653.34
Oct,1986,68,47.6,88.5,118,99,62.3,87.65,104.8,79.6,440.73
Nov,1986,57,99.2,50.72,56,57,47.3,50.55,41.8,54.6,276.92
Dic,1986,27,32.7,18.27,0,26,27.3,18.77,25,16.3,245.87
Ene,1987,16,9.8,11.1,11,16,11.4,11.1,9.3,10.3,215.9
Feb,1987,22,2.5,7.9,2,2,11.4,8.06,5.1,6.1,167.23
Mar,1987,12,15.5,14.9,13,20,15.6,14.95,17.3,15.1,164.87
May,1987,81,51,77.65,113,77,56.9,76.69,76.2,63.6,523.14
Jun,1987,70,12.8,54.03,36,96,61.3,54.45,43,67.3,434.43
Jul,1987,94,39.1,75.65,93,108,60.3,75.1,67.2,73.2,435.83
Ago,1987,44.5,96.9,49.63,84,0,72.4,49.03,13.8,31.8,240.96
Sep,1987,65,4.6,29.62,26,45,25.7,29.61,13.7,35.3,209.01
Oct,1987,4.5,5.5,10.99,14.5,0,16.6,10.96,7.4,8.8,207.13
Nov,1987,11,0,9.6,3,0,10.4,9.76,13.2,11,237.84
Dic,1987,0,0,1,1,0,2,1.01,0,1.5,174.31
Ene,1988,22,15.7,18.27,24,25,13.8,18.08,12.9,20.5,129.31
Feb,1988,0,0,0.09,0,0,0,0.09,0,0.4,174.32
Mar,1988,12,0,2.48,0,0,3.2,2.54,0,2,289.99
Abr,1988,88,40.2,48.33,36,33,55.3,48.66,44.2,38.3,680.48
May,1988,37,49.9,51.81,50,59,53,51.85,49.4,61.9,383.08
Jul,1988,99,90.3,45.8,51,53,33.4,45.54,36.5,36.2,163.61
Ago,1988,139,171,125.45,97,165,158.3,126.33,107.3,132,128.8
Sep,1988,31,38.2,53.22,51,109,59.9,53.32,49.4,63.3,134.97
Oct,1988,44,38.05,37.95,44,36,49.8,37.88,18.1,37,133.61
Nov,1988,0,0,0,0,0,0,0,0,0,156.74
Dic,1988,0,0,0.09,0,30,0.4,0.09,0,0,511.72
Ene,1989,23,10.2,25.05,23.47,32,19.9,24.68,31.2,23.82,367.47
Feb,1989,6,0,5.64,8.5,30,5.3,6.23,5.8,8.17,200.67
Mar,1989,0,0,0,0,0,0,0,0,0,420.22
Abr,1989,54,69.8,29.88,37.62,18,37.11,33.22,17.9,36.15,441.62
May,1989,29,19.5,12.36,13.73,6,13.56,12.91,4.1,13.26,299.44
Jun,1989,76,105.4,63.71,72.43,59,71.97,67.53,57.6,71.06,242.74
Jul,1989,33,53.5,34.51,55,92,34.6,34.06,28.1,21.7,210.5
Ago,1989,135,117.7,84.52,83,106,85.4,84.51,68,76.8,148.81
Sep,1989,10,52.5,42.36,39,6,38.3,42.43,55.7,52.2,141.61
Oct,1989,5,20,13.62,14,4,16.2,13.65,15.6,13,317.99
Ene,1990,0,3,1.98,8,9.5,0.3,1.83,0,0.7,446.49
Feb,1990,3,4.5,1.44,2,0,1.3,1.43,0,1.7,300.57
Mar,1990,0,0,2.1,9.3,30,0.3,1.93,0,0,254.41
Abr,1990,27,47,28.17,43,27,25.5,27.78,12.8,32,232.42
May,1990,29,25.5,22.05,13,0,27.6,22.3,23,21.1,184.67
